u,v,key,elevation,elevation_gain
498281,498285,0,425.0,8.0
498281,48783226,0,433.0,8.0
498285,498286,0,436.0,0.0
498286,498294,0,457.0,0.0
498294,132870879,0,457.0,-5.0
498294,498297,0,452.0,-5.0
498297,1103429724,0,446.0,0.0
498300,254695809,0,314.0,4.0
498300,3764302022,0,318.0,4.0
498303,34580983,0,323.0,-2.0
498303,1739598694,0,323.0,-2.0
498303,1131552914,0,321.0,-2.0
498317,60026811,0,351.0,0.0
498317,1682345930,0,351.0,0.0
498319,60026811,0,350.0,1.0
498319,1682345916,0,351.0,1.0
498322,27250376,0,363.0,-3.0
498322,34580950,0,361.0,-3.0
498322,10119394619,0,360.0,-3.0
498346,498347,0,443.0,-1.0
498346,278335143,0,442.0,-1.0
498347,560982855,0,445.0,-2.0
498347,8750623782,0,444.0,-2.0
498347,498346,0,443.0,-2.0
498348,271387778,0,446.0,2.0
498348,267673380,0,446.0,2.0
498348,498349,0,448.0,2.0
498349,3108089,0,448.0,0.0
498349,551536,0,446.0,0.0
498349,3105890465,0,445.0,0.0
498349,498348,0,448.0,0.0
498352,506378614,0,448.0,0.0
498352,245389134,0,448.0,0.0
498352,271791245,0,448.0,0.0
498352,527905036,0,448.0,0.0
498353,245389130,0,454.0,-1.0
498353,242160687,0,450.0,-1.0
498353,500941409,0,452.0,-1.0
498353,500941406,0,453.0,-1.0
498355,507427704,0,456.0,-2.0
498355,243537110,0,454.0,-2.0
498355,507427715,0,454.0,-2.0
498357,1633146446,0,455.0,1.0
498357,242160692,0,453.0,1.0
498357,276274160,0,458.0,1.0
498357,243537110,0,456.0,1.0
551514,4411340748,0,438.0,0.0
551514,30166109,0,437.0,0.0
551514,7821162230,0,438.0,0.0
551515,3107256,0,438.0,5.0
551515,559808110,0,438.0,5.0
551515,3107511,0,443.0,5.0
551516,271791267,0,440.0,0.0
551516,559808656,0,440.0,0.0
551516,418810939,0,440.0,0.0
551534,1716427142,0,429.0,0.0
551534,551571,0,422.0,0.0
551534,551559,0,429.0,0.0
551536,3528603322,0,443.0,3.0
551536,249227334,0,441.0,3.0
551536,7681109977,0,445.0,3.0
551536,498349,0,446.0,3.0
551540,1570171151,0,435.0,4.0
551540,3307559794,0,439.0,4.0
551559,1716427182,0,429.0,0.0
551559,1716427142,0,429.0,0.0
551559,551534,0,429.0,0.0
551560,5428268229,0,431.0,0.0
551560,551563,0,431.0,0.0
551563,551560,0,431.0,-3.0
551563,255122993,0,428.0,-3.0
551564,5428268229,0,431.0,2.0
551564,3760440676,0,431.0,2.0
551564,168369513,0,433.0,2.0
551565,3107557,0,441.0,0.0
551565,255126872,0,440.0,0.0
551565,551575,0,441.0,0.0
551570,279898789,0,434.0,0.0
551570,255126883,0,434.0,0.0
551570,30166113,0,434.0,0.0
551571,6616712020,0,424.0,2.0
551571,551534,0,422.0,2.0
551571,250567488,0,426.0,2.0
551575,3530617213,0,441.0,0.0
551575,3107557,0,441.0,0.0
551575,3530617217,0,441.0,0.0
551670,2519085418,0,390.0,0.0
551670,551672,0,390.0,0.0
551672,160368458,0,390.0,1.0
551672,551689,0,391.0,1.0
551682,282913048,0,374.0,2.0
551682,8691525432,0,376.0,2.0
551689,160368458,0,391.0,-5.0
551689,551695,0,386.0,-5.0
551695,1324063338,0,380.0,6.0
551695,551689,0,386.0,6.0
589698,1591445906,0,413.0,-3.0
589698,589952,0,410.0,-3.0
589734,275139038,0,454.0,1.0
589734,589735,0,455.0,1.0
589735,589761,0,454.0,4.0
589735,275139038,0,454.0,4.0
589735,509275151,0,458.0,4.0
589757,1106027842,0,470.0,0.0
589757,5433370193,0,470.0,0.0
589757,1161452819,0,471.0,0.0
589757,5433370196,0,470.0,0.0
589761,589735,0,454.0,-5.0
589761,69313566,0,449.0,-5.0
589772,11137335,0,439.0,5.0
589772,1591479354,0,444.0,5.0
589777,60023821,0,440.0,2.0
589777,1591479355,0,442.0,2.0
589785,60599861,0,437.0,-1.0
589785,5825234943,0,436.0,-1.0
589785,60023815,0,436.0,-1.0
589793,680464616,0,433.0,0.0
589793,6120189635,0,433.0,0.0
589793,60034638,0,433.0,0.0
589796,262182871,0,430.0,0.0
589796,245028984,0,428.0,0.0
589796,276121967,0,430.0,0.0
589797,270520463,0,429.0,0.0
589798,946080858,0,429.0,1.0
589798,8985236460,0,430.0,1.0
589810,33476418,0,417.0,-1.0
589810,589815,0,418.0,-1.0
589810,1642284516,0,416.0,-1.0
589810,60031845,0,416.0,-1.0
589815,589810,0,418.0,1.0
589815,60029526,0,419.0,1.0
589815,589816,0,419.0,1.0
589815,3680401,0,419.0,1.0
589816,534666054,0,418.0,1.0
589816,2917901217,0,418.0,1.0
589816,589815,0,419.0,1.0
589817,8972249272,0,416.0,0.0
589817,3277228809,0,415.0,0.0
589817,681383351,0,416.0,0.0
589817,589818,0,416.0,0.0
589818,1911964225,0,418.0,1.0
589818,1580284755,0,418.0,1.0
589818,589817,0,416.0,1.0
589818,60029532,0,419.0,1.0
589821,60030561,0,419.0,-1.0
589821,60030524,0,418.0,-1.0
589821,589823,0,418.0,-1.0
589823,60030523,0,416.0,-2.0
589823,60029556,0,416.0,-2.0
589823,589821,0,418.0,-2.0
589823,1589382642,0,414.0,-2.0
589827,534637092,0,411.0,3.0
589827,590956,0,418.0,3.0
589827,5375073313,0,414.0,3.0
589830,1713299760,0,412.0,1.0
589830,534637088,0,412.0,1.0
589830,589831,0,412.0,1.0
589830,5876870657,0,413.0,1.0
589831,30499167,0,412.0,1.0
589831,589835,0,413.0,1.0
589831,589830,0,412.0,1.0
589831,1713281707,0,413.0,1.0
589835,1713281707,0,413.0,2.0
589835,589831,0,413.0,2.0
589835,1713281675,0,415.0,2.0
589839,1713281639,0,414.0,0.0
589839,438163094,0,412.0,0.0
589839,589843,0,409.0,0.0
589839,92918566,0,414.0,0.0
589843,1713281587,0,408.0,1.0
589843,1547961075,0,408.0,1.0
589843,943621646,0,407.0,1.0
589843,589839,0,409.0,1.0
589850,94584394,0,414.0,0.0
589850,444772369,0,414.0,0.0
589853,8995865264,0,425.0,-1.0
589853,1713281351,0,425.0,-1.0
589853,94584396,0,424.0,-1.0
589856,1066203637,0,423.0,-3.0
589856,1066203678,0,419.0,-3.0
589856,298791674,0,420.0,-3.0
589863,1780662230,0,417.0,1.0
589863,1780662202,0,416.0,1.0
589863,94604534,0,418.0,1.0
589866,282912995,0,413.0,2.0
589866,1780662230,0,413.0,2.0
589866,94604540,0,415.0,2.0
589872,114305227,0,415.0,-2.0
589872,2501964949,0,414.0,-2.0
589872,1064451388,0,413.0,-2.0
589910,256907466,0,406.0,-3.0
589910,427563376,0,413.0,-3.0
589910,256766624,0,403.0,-3.0
589913,589914,0,416.0,0.0
589913,256907466,0,412.0,0.0
589913,4278750558,0,416.0,0.0
589914,589913,0,416.0,2.0
589914,427563376,0,417.0,2.0
589914,268590923,0,418.0,2.0
589927,60031870,0,426.0,0.0
589927,589930,0,424.0,0.0
589927,2906495811,0,426.0,0.0
589930,589927,0,424.0,-1.0
589930,2914580015,0,425.0,-1.0
589930,60032920,0,423.0,-1.0
589936,33476392,0,427.0,-1.0
589936,1970293869,0,427.0,-1.0
589936,5574598084,0,427.0,-1.0
589936,2914580015,0,426.0,-1.0
589950,589952,0,413.0,2.0
589950,2039811982,0,415.0,2.0
589952,267337340,0,412.0,0.0
589952,589950,0,413.0,0.0
589952,1065352009,0,412.0,0.0
589957,1591479277,0,420.0,5.0
589957,10683729,0,425.0,5.0
589963,258509705,0,464.0,0.0
589963,1105621182,0,464.0,0.0
589980,280404323,0,470.0,0.0
589980,1708925040,0,470.0,0.0
589983,2550656640,0,475.0,2.0
589983,2550656646,0,474.0,2.0
589983,611922456,0,477.0,2.0
589992,2960154628,0,489.0,-1.0
589992,251729593,0,487.0,-1.0
589992,377828386,0,488.0,-1.0
589997,629429949,0,487.0,-2.0
589997,509275153,0,487.0,-2.0
589997,282569468,0,487.0,-2.0
589997,251729598,0,485.0,-2.0
590003,590004,0,493.0,0.0
590003,693650563,0,491.0,0.0
590003,4080636268,0,493.0,0.0
590004,4080636273,0,493.0,-3.0
590004,590003,0,493.0,-3.0
590004,256514550,0,490.0,-3.0
590007,590016,0,485.0,-2.0
590007,590013,0,485.0,-2.0
590007,747494801,0,483.0,-2.0
590013,590016,0,485.0,5.0
590013,590007,0,485.0,5.0
590013,575080870,0,490.0,5.0
590016,590007,0,485.0,0.0
590016,1286578806,0,485.0,0.0
590016,590013,0,485.0,0.0
590020,251729599,0,489.0,0.0
590020,6938269257,0,486.0,0.0
590020,693650563,0,489.0,0.0
590023,693650563,0,490.0,-2.0
590023,5661459408,0,492.0,-2.0
590023,214735336,0,488.0,-2.0
590035,1161452866,0,458.0,12.0
590035,3236957555,0,470.0,12.0
590038,279208900,0,457.0,0.0
590038,590039,0,457.0,0.0
590039,590040,0,455.0,-5.0
590039,1106392159,0,450.0,-5.0
590040,1455428662,0,448.0,7.0
590040,1455428659,0,455.0,7.0
590047,2806288723,0,439.0,-3.0
590047,590050,0,428.0,-3.0
590047,2806288716,0,436.0,-3.0
590050,266382274,0,427.0,-2.0
590050,590047,0,428.0,-2.0
590050,590054,0,425.0,-2.0
590054,1106028467,0,422.0,3.0
590054,2710930337,0,415.0,3.0
590054,590050,0,425.0,3.0
590072,275129069,0,369.0,27.0
590072,2710930337,0,396.0,27.0
590130,1348510612,0,282.0,-5.0
590130,78694050,0,277.0,-5.0
590141,412984812,0,262.0,0.0
590141,73801755,0,259.0,0.0
590141,5703965984,0,261.0,0.0
590141,20850009,0,262.0,0.0
590147,590148,0,246.0,0.0
590148,20957282,0,247.0,1.0
590148,303808184,0,246.0,1.0
590148,1156647794,0,248.0,1.0
590154,20275987,0,255.0,-2.0
590154,3219353711,0,253.0,-2.0
590185,3286090660,0,265.0,-10.0
590185,2314505988,0,255.0,-10.0
590191,3286093662,0,275.0,8.0
590191,3286090660,0,268.0,8.0
590191,1242388909,0,283.0,8.0
590195,3296392961,0,283.0,1.0
590195,5559437751,0,289.0,1.0
590195,1244830188,0,284.0,1.0
590203,280410636,0,290.0,2.0
590203,440960176,0,287.0,2.0
590203,703875532,0,292.0,2.0
590210,270915530,0,315.0,-17.0
590210,268134193,0,325.0,-17.0
590210,703875532,0,298.0,-17.0
590226,3458364265,0,340.0,4.0
590226,268134193,0,335.0,4.0
590226,9822344,0,344.0,4.0
590231,310836691,0,339.0,2.0
590231,310798909,0,340.0,2.0
590231,1170666241,0,340.0,2.0
590231,7400807076,0,341.0,2.0
590233,152625293,0,347.0,0.0
590233,7400807076,0,344.0,0.0
590233,3456645915,0,347.0,0.0
590264,1826093632,0,339.0,1.0
590264,2046700520,0,340.0,1.0
590264,2279198809,0,340.0,1.0
590264,2279198807,0,340.0,1.0
590273,267970660,0,331.0,3.0
590273,4361502827,0,336.0,3.0
590273,3458016416,0,334.0,3.0
590288,1247025804,0,312.0,-1.0
590288,320838933,0,312.0,-1.0
590288,1293711348,0,311.0,-1.0
590291,233202844,0,305.0,2.0
590291,5570986109,0,305.0,2.0
590291,1293711348,0,307.0,2.0
590293,5570986109,0,304.0,0.0
590293,268110824,0,304.0,0.0
590298,590300,0,305.0,0.0
590300,1141833457,0,303.0,0.0
590300,3657652663,0,303.0,0.0
590303,590304,0,303.0,-1.0
590303,1491674059,0,302.0,-1.0
590304,590306,0,301.0,0.0
590306,240951880,0,291.0,0.0
590312,240951883,0,281.0,-6.0
590312,74253170,0,275.0,-6.0
590318,1792804740,0,284.0,0.0
590320,590324,0,283.0,0.0
590320,429575279,0,283.0,0.0
590324,762147411,0,285.0,2.0
590324,590325,0,287.0,2.0
590325,3667603537,0,285.0,2.0
590325,3407332252,0,287.0,2.0
590341,9105831687,0,263.0,-2.0
590341,9105831685,0,259.0,-2.0
590341,1244830049,0,261.0,-2.0
590349,1491585055,0,259.0,-1.0
590349,7221217459,0,258.0,-1.0
590355,3233639931,0,254.0,0.0
590355,5738698820,0,251.0,0.0
590355,2334447292,0,254.0,0.0
590359,12620657,0,252.0,-1.0
590359,1635727354,0,250.0,-1.0
590359,3359527277,0,252.0,-1.0
590359,6072990032,0,251.0,-1.0
590362,12620677,0,259.0,-2.0
590362,12620668,0,257.0,-2.0
590407,7904113315,0,247.0,0.0
590407,20918811,0,247.0,0.0
590407,7904113305,0,247.0,0.0
590409,7904113304,0,250.0,0.0
590409,4359021128,0,250.0,0.0
590409,5181706276,0,250.0,0.0
590435,1060106192,0,237.0,3.0
590435,20963900,0,237.0,3.0
590435,3177479420,0,240.0,3.0
590462,590466,0,230.0,0.0
590466,108292299,0,232.0,1.0
590466,1505622100,0,233.0,1.0
590471,590473,0,237.0,0.0
590471,1163941893,0,237.0,0.0
590473,108292309,0,234.0,6.0
590473,108292343,0,240.0,6.0
590503,1110703810,0,233.0,-3.0
590503,3877884447,0,233.0,-3.0
590503,1110703803,0,230.0,-3.0
590508,9734627587,0,227.0,-1.0
590508,370053220,0,227.0,-1.0
590508,278819219,0,226.0,-1.0
590512,1724395461,0,228.0,0.0
590512,590525,0,228.0,0.0
590516,590524,0,226.0,1.0
590516,1307554309,0,227.0,1.0
590524,1724613079,0,225.0,3.0
590524,590525,0,225.0,3.0
590524,590516,0,226.0,3.0
590524,1724395461,0,228.0,3.0
590525,590524,0,225.0,-1.0
590525,590512,0,228.0,-1.0
590525,1724613098,0,225.0,-1.0
590525,10699964093,0,224.0,-1.0
590532,9734627587,0,227.0,0.0
590532,1724613098,0,226.0,0.0
590532,281248619,0,227.0,0.0
590545,21097728,0,229.0,-2.0
590545,9255939431,0,229.0,-2.0
590545,370053220,0,227.0,-2.0
590555,1367178938,0,221.0,-1.0
590555,5801769062,0,221.0,-1.0
590555,1725047044,0,220.0,-1.0
590556,5801769062,0,222.0,5.0
590556,91880543,0,221.0,5.0
590556,5801769057,0,227.0,5.0
590574,27304798,0,222.0,0.0
590597,381921416,0,226.0,-1.0
590597,376756572,0,225.0,-1.0
590954,590956,0,417.0,-1.0
590954,1582708253,0,416.0,-1.0
590954,26240203,0,416.0,-1.0
590956,248474335,0,419.0,-2.0
590956,589827,0,418.0,-2.0
590956,590954,0,417.0,-2.0
590963,2881102381,0,421.0,-1.0
590963,9234498220,0,420.0,-1.0
590972,5178084308,0,425.0,1.0
590972,282912960,0,428.0,1.0
590972,253160935,0,426.0,1.0
590974,4709523266,0,427.0,0.0
590974,253160940,0,427.0,0.0
590974,8829466016,0,427.0,0.0
590974,665154221,0,427.0,0.0
590976,1601154811,0,427.0,1.0
590976,1601154727,0,427.0,1.0
